,usaf,name,state,lat,lon
571,744214,MARION MUNICIPAL AP,IN,40.483,-85.683
572,720436,ATKINSON MUNICIPAL AIRPORT,KS,37.45,-94.733
573,720671,JESUP WAYNE COUNTY AIRPORT,GA,31.554,-81.883
575,998253,CUTLER,ME,44.65,-67.3
576,998305,PORT EVERGLADES CHANNEL,FL,26.092,-80.109
577,998342,TACONY/PALMYRA BRIDGE,NJ,40.012,-75.042
578,998186,SPRINGMAID PIER,SC,33.65,-78.917
579,998267,ROCHESTER,NY,43.267,-77.617
580,998286,BROAD RIVER LOWER,FL,25.483,-81.117
581,998171,GRAND BAY RESERVE,MS,30.35,-88.417
582,998252,BAR HARBOR,ME,44.4,-68.2
583,998255,MACKINAW CITY,MI,45.783,-84.717
584,998264,LAKE CHARLES,LA,30.217,-93.217
585,998266,STURGEON POINT,NY,42.683,-79.05
586,998281,FAIRPORT,OH,41.767,-81.283
587,998405,MANISTEE HARBOR,MI,44.248,-86.346
588,998258,KETCHIKAN,AK,55.333,-131.625
589,998259,SKAGWAY,AK,59.45,-135.318
590,998261,JUNEAU,AK,58.298,-134.412
591,998265,MARCUS HOOK,PA,39.817,-75.417
592,998271,VALDEZ,AK,61.133,-146.367
593,998274,BROAD RIVER,FL,25.483,-80.983
594,998275,BOB ALLEN,FL,25.027,-80.681
595,998276,BLACKWATER SOUND,FL,25.183,-80.433
596,998277,CANE PATCH,FL,25.417,-80.95
597,998278,CANNON BAY,FL,25.7,-81.183
598,998279,DUCK KEY,FL,25.183,-80.483
599,998283,GARFIELD BRIGHT,FL,25.167,-80.8
600,998284,HIGHWAY CREEK,FL,25.25,-80.45
601,998285,JOHNSON KEY,FL,25.05,-80.9
602,998287,LITTLE BLACKWATER,FL,25.217,-80.433
603,998288,LITTLE MADEIRA,FL,25.167,-80.633
604,998289,LOSTMANS RIVER,FL,25.55,-81.183
605,998291,LITTLE RABBIT KEY,FL,24.983,-80.833
606,998292,LONG SOUND,FL,25.233,-80.45
607,998293,MURRAY KEY,FL,25.1,-80.95
608,998294,PETERSON KEY,FL,24.917,-80.75
609,998295,TROUT COVE,FL,25.217,-80.533
610,998296,TARPON BAY EAST,FL,25.417,-80.967
611,998297,TAYLOR RIVER,FL,25.217,-80.65
612,998299,WHIPRAY BASIN,FL,25.083,-80.733
613,998300,BUTTERNUT KEY,FL,25.087,-80.519
614,998302,GUNBOAT ISLAND,FL,25.376,-81.029
615,998306,WILLY WILLY,FL,25.619,-81.044
616,998307,WATSON PLACE,FL,25.708,-81.248
617,998254,KING COVE,AK,55.067,-162.333
618,998269,EAST BAY CAUSEWAY,FL,27.933,-82.433
619,998340,SANTA BARBARA,CA,34.408,-119.658
620,998209,DUCK PIER,NC,36.183,-75.75
621,998341,PORT ALEXANDER,AK,56.247,-134.647
622,997355,VIRGINIA KEY,FL,25.73,-80.15
623,998184,PORT ARANSAS,TX,27.833,-97.067
624,998243,SAND POINT,AK,55.333,-160.5
625,998282,FRESH WATER CANAL LOCKS,LA,29.55,-92.3
626,998256,TACOMA MET,WA,47.276,-122.418
627,998172,LINCOLN ROCK,AK,56.05,-132.7
628,720664,INDEPENDENCE OIL PLATFORM,LA,28.083,-87.983
629,720665,MAGNOLIA OIL PLATFORM,LA,27.2,-92.2
630,720666,SHIP SHOAL OIL PLATFORM,LA,28.6,-91.2
631,720669,GUNNISON OIL PLATFORM,TX,27.3,-93.533
632,720668,EAST BREAKS OIL PLATFORM,TX,27.817,-94.317
636,720667,OIL PLATFORM/INNOVATOR,MS,28.217,-89.617
640,720663,VIROQUA MUNI,WI,43.579,-90.913
643,701719,SHUNGNAK AIRPORT,AK,66.888,-157.162
644,749171,TEHACHAPI MUNICIPAL AIRPORT,CA,35.135,-118.439
645,720661,IONIA CO,MI,42.938,-85.061
646,720532,HARRIET ALEXANDER FIELD AIRPO,CO,38.533,-106.05
647,720659,OZONA MUNICIPAL AIRPORT,TX,30.735,-101.203
648,720657,HINCKLEY/FIELD OF DREAMS AIRP,MN,46.023,-92.895
649,720658,SAUK CENTRE MUNI,MN,45.707,-94.933
650,720656,MIDDLETON MUNI MOREY FLD,WI,43.114,-89.532
652,720672,FLAGLER COUNTY EXECUTIVE AIRP,FL,29.467,-81.206
655,722928,MCOLF CAMP PENDLETON RED BEAC,CA,33.286,-117.456
656,725021,CLEVELAND MUNI,TX,30.356,-95.008
657,720539,STEVENS FIELD AIRPORT,CO,37.283,-107.05
660,720652,BRIDGEPORT SONORA JUNCTION,CA,38.356,-119.519
663,720655,CRYSTAL RIVER AIRPORT,FL,28.867,-82.567
664,724737,INVERNESS AIRPORT,FL,28.817,-82.317
665,720648,AUSTIN EXECUTIVE AIRPORT,TX,30.395,-97.567
666,720649,HALIFAX NORTHAMPTON REGIONAL,NC,36.33,-77.635
667,720651,UNION COUNTY AIRPORT,OH,40.225,-83.352
668,720647,LAMPASAS AIRPORT,TX,31.106,-98.196
669,720646,HALF MOON BAY AIRPORT,CA,37.513,-122.501
671,720643,FOREST CITY MUNICIPAL AIRPORT,IA,43.235,-93.624
674,720645,PLACERVILLE AIRPORT,CA,38.717,-120.75
679,720654,CORNING MUNI,AR,36.404,-90.648
682,723758,RUSK COUNTY AIRPORT,WI,45.497,-91.001
686,720639,HORSESHOE BAY RESORT AIRPORT,TX,30.533,-98.367
687,720637,HOUSTON SOUTHWEST AIRPORT,TX,29.5,-95.477
688,720638,BEND MUNICIPAL AIRPORT,OR,44.095,-121.2
690,720636,CLINTON MEMORIAL AIRPORT,MO,38.35,-93.683
691,720614,LINCOLN REGIONAL AIRPORT KARL,CA,38.909,-121.351
692,722274,CENTERVILLE MUNICIPAL AIRPORT,IA,40.684,-92.901
693,720613,CONWAY HORRY COUNTY AIRPORT,SC,33.828,-79.122
694,747918,GEORGETOWN COUNTY AIRPORT,SC,33.317,-79.317
696,720635,H A CLARK MEMORIAL FIELD AIRP,AZ,35.3,-112.2
697,720619,FRANCIS E WARREN AFB HELIPORT,WY,41.133,-104.867
698,720634,FAIRFIELD COUNTY AIRPORT,SC,34.315,-81.109
699,723126,SPARTANBURG DOWNTOWN MEM,SC,34.916,-81.957
